cellId,lat,lon
33.30492,33.86147,-118.31838
33.30493,33.86247,-118.32699
33.30501,33.86017,-118.28978
33.30502,33.85389,-118.2824
33.30503,33.85577,-118.29423
33.30721,33.85137,-118.2683
33.30722,33.83962,-118.26325
33.30723,33.84642,-118.27173
33.31911,33.82389,-118.38628
33.62161,33.83123,-118.26055
34.30521,33.9917,-118.28049
34.30522,33.98133,-118.27736
34.30523,33.98284,-118.28092
34.30531,33.96857,-118.28142
34.30532,33.95737,-118.28039
34.30533,33.9557,-118.28574
34.30541,33.9415,-118.28043
34.30542,33.9347,-118.27916
34.30543,33.92814,-118.28291
34.31421,34.00864,-118.33005
34.31431,34.02252,-118.31029
34.31441,33.99926,-118.35775
34.31442,33.98945,-118.35963
34.31443,33.9964,-118.37028
34.31491,33.92884,-118.3112
34.31492,33.92666,-118.30298
34.31493,33.92524,-118.32003
34.31573,33.95416,-118.2686
34.32381,34.00903,-118.28144
34.32382,34.00072,-118.28094
34.32383,34.00126,-118.28376
34.34271,33.93402,-118.35085
34.34272,33.92868,-118.34222
34.34273,33.93178,-118.35642
34.36361,33.9624,-118.34697
34.37141,34.00925,-118.35723
34.37142,34.00369,-118.35852
34.38621,33.98967,-118.36937
34.38622,33.98265,-118.36984
34.38623,33.98264,-118.37972
34.39221,33.97967,-118.35868
34.39223,33.97084,-118.3661
34.39262,34.0045,-118.37275
34.61143,33.86342,-118.30317
35.03245,47.43044,19.26238
35.03357,47.43406,19.26283
35.03358,47.43207,19.26113
35.03384,47.44484,19.20404
35.03408,47.43236,19.22676
35.03431,47.45417,19.19158
35.03463,47.44827,19.20557
35.0347,47.45334,19.19412
35.03554,47.43583,19.22381
35.03555,47.44223,19.21575
35.03556,47.43172,19.26045
35.03575,47.42088,19.2711
35.03576,47.42782,19.23497
35.03591,47.41769,19.26019
35.03714,47.40981,19.25984
36.30471,33.90393,-118.37238
36.30472,33.89707,-118.36803
36.30481,33.88181,-118.35104
36.30482,33.87259,-118.35091
36.31861,33.87604,-118.39586
36.31862,33.86973,-118.39228
36.31863,33.8726,-118.40228
36.31881,33.85666,-118.39016
36.31882,33.84911,-118.38555
36.31883,33.84263,-118.39308
36.31891,33.85099,-118.35686
36.31892,33.84237,-118.35323
36.31893,33.8407,-118.36791
36.32341,33.912,-118.3949
36.32342,33.90612,-118.38267
36.32343,33.90344,-118.39658
36.32352,33.87798,-118.4043
36.32361,33.88591,-118.39698
36.32362,33.88022,-118.39456
36.32363,33.8815,-118.3968
36.34711,33.84339,-118.38718
36.34712,33.83732,-118.38121
36.34713,33.83491,-118.38636
36.34741,33.86573,-118.40147
36.34742,33.86478,-118.39983
36.34743,33.85384,-118.39734
36.35971,33.89876,-118.36781
36.35972,33.89043,-118.36072
36.35973,33.8927,-118.36442
36.38593,33.88988,-118.4131
36.39112,33.90012,-118.40863
36.60502,33.86646,-118.32948
36.60503,33.86636,-118.33418
36.61212,33.83678,-118.36515
36.64741,33.89787,-118.39613
36.64742,33.89054,-118.39623
37.30202,34.03856,-118.27476
37.30203,34.0373,-118.2832
37.30561,34.03318,-118.24845
37.30562,34.02512,-118.24392
37.30563,34.02649,-118.251
37.30572,34.05016,-118.22659
37.30582,34.02943,-118.21545
37.30583,34.03231,-118.22393
37.30612,34.03007,-118.18827
37.30613,34.02917,-118.20241
37.31011,34.06387,-118.25107
37.31012,34.05845,-118.24552
37.31013,34.05871,-118.2516
37.31021,34.07282,-118.26846
37.31022,34.07147,-118.26692
37.32262,34.05468,-118.25383
37.32263,34.05439,-118.25712
37.32632,34.04887,-118.24482
37.36252,34.03515,-118.24887
37.36482,34.03649,-118.23718
37.36711,34.06974,-118.26209
37.36793,34.04915,-118.25958
37.60031,34.02711,-118.23307
37.60033,34.02434,-118.23973
37.60062,34.03233,-118.24591
37.60311,34.02871,-118.2548
37.60322,34.03986,-118.2377
37.61391,34.03773,-118.26406
37.61392,34.03105,-118.26029
37.61393,34.03305,-118.26533
37.61401,34.0525,-118.25687
37.61402,34.05128,-118.25747
38.32542,34.08196,-118.41098
38.32562,34.07855,-118.41768
38.32563,34.07951,-118.42521
38.32833,34.06525,-118.39246
38.33961,34.06712,-118.41243
38.33962,34.06136,-118.43075
38.33963,34.06997,-118.40078
38.33972,34.06295,-118.41385
38.33973,34.05355,-118.4023
38.33981,34.0777,-118.41958
38.33982,34.08099,-118.43492
38.60093,34.06307,-118.42194
38.60441,34.07446,-118.45822
38.60442,34.07465,-118.44775
38.60443,34.06685,-118.41928
38.60531,34.06499,-118.41157
38.60533,34.05465,-118.44981
38.61521,34.07043,-118.41008
38.61522,34.07678,-118.39025
38.61523,34.06508,-118.39607
38.62351,34.07356,-118.42
38.62353,34.06025,-118.44739
47.22131,34.51298,-117.30987
47.22133,34.4669,-117.34897
47.24561,34.58096,-117.26988
47.42391,34.41576,-117.3893
47.42392,34.40801,-117.39489
47.42393,34.38338,-117.40758
47.42601,34.55052,-117.29442
47.42721,34.63628,-117.22652
47.42722,34.5532,-117.29296
47.43931,34.46286,-117.35263
47.43933,34.45174,-117.36145
47.46291,34.52845,-117.31192
47.46292,34.49552,-117.32919
56.30222,34.03504,-118.33052
56.30223,34.03425,-118.33806
56.30231,34.04231,-118.36566
56.30232,34.03398,-118.36083
56.30233,34.03428,-118.3679
56.30241,34.03253,-118.38815
56.30242,34.02887,-118.38554
56.30243,34.029,-118.39298
56.30252,34.03134,-118.41616
56.30253,34.03151,-118.42319
56.30281,34.05497,-118.39622
56.30282,34.04888,-118.39929
56.30283,34.05339,-118.40502
56.30301,34.06397,-118.34445
56.30302,34.06109,-118.33869
56.30303,34.05925,-118.34656
56.30311,34.05907,-118.4238
56.30312,34.05376,-118.42033
56.30313,34.05299,-118.4335
56.30621,34.03823,-118.37758
56.30622,34.0358,-118.37255
56.30623,34.0358,-118.37932
56.32251,34.04473,-118.34886
56.32252,34.03618,-118.34655
56.32253,34.03455,-118.35194
56.32801,34.05299,-118.34373
56.32802,34.04788,-118.34057
56.32803,34.0466,-118.34572
56.32811,34.05451,-118.37666
56.32812,34.05153,-118.37561
56.32841,34.05262,-118.41623
56.32842,34.04898,-118.40999
56.32843,34.04449,-118.42135
56.34531,34.05448,-118.38437
56.34532,34.0522,-118.38144
56.34533,34.05395,-118.39048
56.34671,34.02805,-118.35326
56.34673,34.01469,-118.35627
56.35712,34.04928,-118.43777
56.35713,34.05235,-118.44098
56.35722,34.05921,-118.40924
56.35731,34.02651,-118.37295
56.35733,34.02083,-118.37636
56.35793,34.04468,-118.33048
56.36121,34.06339,-118.3217
56.36131,34.06287,-118.39948
56.36132,34.05864,-118.39465
56.36271,34.0438,-118.42459
56.36451,34.02973,-118.40295
56.36452,34.02909,-118.40077
56.36453,34.02934,-118.40661
56.36521,34.06038,-118.36252
56.36522,34.05656,-118.35997
56.36523,34.0569,-118.36555
56.60221,34.06426,-118.38442
56.60222,34.05917,-118.37998
56.60891,34.04958,-118.36306
56.60893,34.05004,-118.3667
56.61301,34.06514,-118.35048
56.61302,34.06212,-118.34925
56.61303,34.06204,-118.35469
56.61311,34.0605,-118.41753
56.61312,34.0564,-118.41422
56.61331,34.02763,-118.39568
56.61332,34.02091,-118.39354
56.61333,34.02294,-118.40013
56.61771,34.0307,-118.41063
56.61772,34.02893,-118.40721
56.61791,34.05023,-118.43628
56.61792,34.04288,-118.42957
56.61793,34.04656,-118.44057
56.62261,34.0612,-118.37668
56.62262,34.05824,-118.37505
56.62263,34.05642,-118.37767
56.62462,34.03873,-118.31602
56.62463,34.0359,-118.32114
56.62464,34.03688,-118.32691
57.30731,33.82697,-118.24282
57.30732,33.82535,-118.22863
57.30733,33.82773,-118.2493
57.30742,33.82512,-118.2051
57.30743,33.82591,-118.20945
57.30752,33.8142,-118.17822
57.30753,33.8167,-118.18785
57.30771,33.8077,-118.1505
57.30772,33.80416,-118.13935
57.30773,33.80845,-118.15584
57.36212,33.81024,-118.14059
57.36291,33.81286,-118.16713
57.36292,33.80819,-118.1583
57.60693,33.8184,-118.14031
57.62201,33.82518,-118.2168
57.62222,33.83718,-118.18382
62.30371,34.20727,-118.47373
62.30373,34.19348,-118.47427
62.30381,34.23787,-118.47044
62.30383,34.23189,-118.47379
62.30391,34.26998,-118.47079
62.30393,34.25971,-118.47375
62.31403,34.21238,-118.46925
62.31681,34.32243,-118.49866
62.31682,34.31253,-118.48793
62.33482,34.29849,-118.4681
62.38231,34.28562,-118.46856
62.38232,34.27794,-118.47012
62.51011,34.30506,-118.48173
62.51013,34.29558,-118.47261
63.10646,51.21112,-1.59522
63.10647,51.20552,-1.59477
63.21012,51.16399,-1.92367
63.21013,51.13403,-1.89554
63.21015,51.0779,-1.80744
63.21016,51.05928,-1.76735
63.21017,51.06883,-1.83889
63.21018,51.03787,-1.72197
63.2102,51.00536,-1.75832
63.21021,51.12875,-1.61966
63.21022,51.12264,-1.58426
63.21023,51.11212,-1.693
63.21024,51.20526,-1.77971
63.21025,51.18026,-1.68949
63.21026,51.17671,-1.7894
63.21895,51.148,-1.78848
63.21896,51.10681,-1.74777
63.21897,51.10662,-1.80084
63.22006,51.05268,-2.01196
63.22578,51.10269,-1.86959
63.22579,51.08315,-1.85815
63.2258,51.07641,-1.88718
63.25077,51.19512,-1.90253
63.2629,51.0168,-1.96122
63.26347,51.03898,-1.84304
63.26348,50.9837,-1.84502
63.27366,51.08605,-1.81137
63.27367,51.07381,-1.78204
63.27368,51.0604,-1.79715
63.27925,51.04568,-1.82034
63.27938,51.03626,-1.84627
63.27939,51.03844,-1.87134
63.29554,51.17506,-1.78657
63.29556,51.16987,-1.82177
63.29557,51.18174,-1.87428
63.29558,51.17108,-1.87463
63.30373,51.05481,-1.79609
63.3191,51.08283,-1.7771
63.38754,50.95667,-1.77498
63.39366,51.07998,-1.79752
63.39367,51.06022,-1.78549
63.39368,51.0679,-1.79815
63.39543,51.07254,-1.80991
63.39709,51.07137,-1.80381
64.33591,34.21376,-119.00102
64.33592,34.20286,-118.97759
64.33593,34.21422,-119.01342
64.33601,34.22112,-119.09696
64.33602,34.22,-119.08419
64.33603,34.22061,-119.11504
64.33631,34.26423,-119.2405
64.33632,34.26218,-119.22958
64.33633,34.25887,-119.2305
64.33642,34.27608,-119.28722
64.33643,34.27728,-119.29272
64.33662,34.31047,-119.35987
64.35021,34.24141,-119.18775
64.35043,34.1938,-119.2237
64.35072,34.25566,-119.25324
64.35981,34.21715,-119.04342
64.35982,34.22015,-118.99818
64.35983,34.21529,-119.06515
64.39391,34.3688,-119.45796
64.39392,34.3479,-119.42415
64.39743,34.28954,-119.3038
64.50571,34.28155,-119.30276
64.50572,34.26946,-119.27917
64.51582,34.21173,-119.01055
64.51583,34.21679,-119.0361
64.52011,34.23602,-119.17997
64.52012,34.22331,-119.15152
64.52022,34.26351,-119.26731
64.52023,34.26967,-119.27539
64.52072,34.21752,-119.05652
64.52073,34.21826,-119.06675
64.53661,34.25694,-119.2163
64.53662,34.24788,-119.20299
64.55233,34.22393,-119.13131
64.56391,34.28084,-119.30422
64.56393,34.28557,-119.32351
65.33341,34.14886,-118.6963
65.33343,34.14195,-118.7063
65.33362,34.13937,-118.72973
