cellId,areaId,lat,lon,phones,isNew
245.21802,245,37.6546,-122.40582,8,
245.21811,245,37.62424,-122.40608,8,
245.21812,245,37.63173,-122.4115,8,
245.21982,245,37.61267,-122.39555,8,
245.22271,245,37.69568,-122.39241,8,
245.22272,245,37.68599,-122.39093,8,
245.30605,245,37.61792,-122.38692,8,
245.30606,245,37.61712,-122.38709,8,
255.20401,255,37.7189,-122.3997,8,
255.20471,255,37.72958,-122.4032,8,
255.20473,255,37.72379,-122.40126,8,
255.24583,255,37.72571,-122.40313,8,
260.20011,260,37.78754,-122.40834,8,
260.20021,260,37.78192,-122.39791,8,
260.20023,260,37.7787,-122.40087,8,
260.20062,260,37.78963,-122.40236,8,
260.20071,260,37.78159,-122.41907,8,
260.20072,260,37.7789,-122.42021,8,
260.20073,260,37.7819,-122.42081,8,
260.20102,260,37.78688,-122.41749,8,
260.20103,260,37.78684,-122.41884,8,
260.20111,260,37.78915,-122.38794,8,
260.20112,260,37.77992,-122.3938,8,
260.20231,260,37.7876,-122.4035,8,
260.20232,260,37.78445,-122.39963,8,
260.20233,260,37.78518,-122.4041,8,
260.20332,260,37.7781,-122.39817,8,
260.21332,260,37.78538,-122.38799,8,
260.21461,260,37.78415,-122.40952,8,
260.21462,260,37.78391,-122.40782,8,
260.21531,260,37.78629,-122.4124,8,
260.21532,260,37.78088,-122.41209,8,
260.21533,260,37.78241,-122.41857,8,
260.21541,260,37.77844,-122.39936,8,
260.21901,260,37.78845,-122.38994,8,
260.22532,260,37.78964,-122.40409,8,
260.22811,260,37.78671,-122.40837,8,
260.22812,260,37.7862,-122.40709,8,
260.22813,260,37.78602,-122.41002,8,
260.22821,260,0,0,8,
260.22822,260,37.777465,-122.42296999999999,8,true
260.22871,260,37.787265000000005,-122.38796500000001,8,true
260.22872,260,37.78544,-122.39374,8,
260.22881,260,37.787040000000005,-122.400995,8,true
260.22921,260,37.78543,-122.40605666666666,8,true
260.22922,260,37.78255,-122.40274,8,
260.22923,260,37.78108,-122.40755,8,
260.24513,260,37.77611,-122.41384,8,
260.24521,260,37.78116,-122.40187,8,
260.24522,260,37.77641,-122.40114,8,
260.24523,260,37.77368,-122.41036,8,
260.40023,260,37.78838,-122.4028,8,
270.20781,270,37.58495,-122.33196,8,
270.20782,270,37.5868,-122.34227,8,
270.20791,270,37.56133,-122.30418,8,
270.20792,270,37.55687,-122.29965,8,
270.20802,270,37.54968,-122.30927,8,
270.20831,270,37.59296,-122.3781,8,
270.20833,270,37.60337,-122.38505,8,
270.20961,270,37.53436,-122.27765,8,
270.20962,270,37.52879,-122.26834,8,
270.20963,270,37.53043,-122.27596,8,
270.21001,270,37.5719,-122.3211,8,
270.21111,270,37.52217,-122.26414,8,
270.21112,270,37.51573,-122.25869,8,
270.21113,270,37.52436,-122.26835,8,
270.21121,270,37.51492666666667,-122.25735666666667,8,true
270.21122,270,37.50385,-122.24234,8,
270.21151,270,37.59806,-122.37377,8,
270.21152,270,37.60047,-122.37728,8,
270.21161,270,37.58406,-122.36171,8,
270.21641,270,37.49386,-122.22736,8,
270.21642,270,37.50123,-122.24054,8,
270.21681,270,37.47008,-122.1582,8,
