cellId,areaId,lat,lon
275.25762,275,37.39594,-122.02083
275.25763,275,37.4,-122.02915
275.26101,275,37.43181,-122.10539
275.26102,275,37.42345,-122.09636
275.26103,275,37.42679,-122.10161
275.26151,275,37.43523,-122.17553
275.26152,275,37.42863,-122.16842
275.26171,275,37.40465,-122.05284
275.26172,275,37.40227,-122.04336
275.26173,275,37.40447,-122.05707
275.26541,275,37.42149,-122.09438
275.26542,275,37.41704,-122.08851
275.29022,275,37.40193,-122.06672
275.29031,275,37.39449,-122.03196
275.29041,275,37.4108,-122.08842
275.29141,275,37.44671,-122.13137
275.29143,275,37.44354,-122.13939
275.29341,275,37.42464,-122.1089
275.29623,275,37.40561,-122.01971
275.29832,275,37.34655,-122.03283
275.43402,275,37.4389,-122.16051
275.43403,275,37.43501,-122.17927
275.43431,275,37.3984,-122.05017
275.43631,275,37.36969,-122.01377
275.43632,275,37.35508,-122.01625
275.43642,275,37.37953,-122.01581
301.11031,301,0,0
301.11032,301,0,0
301.11033,301,0,0
301.11041,301,0,0
301.11042,301,0,0
301.11043,301,0,0
301.11072,301,0,0
301.11073,301,0,0
301.11082,301,0,0
301.11083,301,0,0
301.11322,301,0,0
307.10051,307,0,0
307.11541,307,0,0
307.12181,307,0,0
307.12191,307,0,0
307.12192,307,0,0
307.12193,307,0,0
307.12201,307,0,0
307.12253,307,0,0
307.12361,307,0,0
307.12362,307,0,0
307.12363,307,0,0
307.12391,307,0,0
307.12393,307,0,0
307.12413,307,0,0
307.12501,307,0,0
307.12502,307,0,0
307.12503,307,0,0
307.31391,307,0,0
307.34073,307,0,0
307.42501,307,0,0
307.42502,307,0,0
307.42503,307,0,0
310.09265,310,51.73606,0.13875
310.09267,310,51.72069,0.14032
310.09769,310,51.86734,0.18949
310.13158,310,51.87388,0.20942
310.13159,310,51.86823,0.22393
310.1316,310,51.86116,0.18768
310.13353,310,51.83835,0.18629
310.1336,310,51.80916,0.21363
310.13361,310,51.81591,0.17557
310.14082,310,51.80647,0.17458
310.14083,310,51.7908,0.1719
310.1805,310,51.7739,0.15777
310.18052,310,51.75341,0.14139
310.20768,310,51.67861,0.03457
310.22585,310,51.68388,0.06108
310.22592,310,51.68257,0.04836
310.22825,310,51.68207,0.11495
310.31331,310,51.67629,0.12837
310.31332,310,51.68043,0.10353
310.32,310,51.68766,0.1338
310.32474,310,51.67979,0.01301
310.32475,310,51.68059,-0.00983
310.40173,310,51.74559,0.13846
310.47924,310,51.68916,0.08849
310.47931,310,51.68814,0.07828
310.49142,310,51.89046,0.21032
310.49143,310,51.87831,0.20317
310.49634,310,51.70923,0.14446
310.49636,310,51.69279,0.13582
312.12022,312,0,0
312.12113,312,0,0
312.12241,312,0,0
